key,title,description,work-load,more-info,key:job
# title
duty-01,Lorem ipsum,Lorem ipsum,50,http://www.lorem-ipsum.org,job-01
duty-02,L,Lorem ipsum,50,http://www.lorem-ipsum.org,job-02
duty-03,Lo,Lorem ipsum,50,http://www.lorem-ipsum.org,job-03
duty-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",Lorem ipsum,50,http://www.lorem-ipsum.org,job-04
duty-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem",Lorem ipsum,50,http://www.lorem-ipsum.org,job-05
duty-06,<h1>!</h1>,Lorem ipsum,50,http://www.lorem-ipsum.org,job-06
duty-07,' or 'A'='A,Lorem ipsum,50,http://www.lorem-ipsum.org,job-07
duty-08,국민경제의 발전을,Lorem ipsum,50,http://www.lorem-ipsum.org,job-08
duty-09,العظمى واعتلاء,Lorem ipsum,50,http://www.lorem-ipsum.org,job-09
# description
duty-10,Lorem ipsum,L,50,http://www.lorem-ipsum.org,job-10
duty-11,Lorem ipsum,Lo,50,http://www.lorem-ipsum.org,job-11
duty-12,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",50,http://www.lorem-ipsum.org,job-12
duty-13,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",50,http://www.lorem-ipsum.org,job-13
duty-14,Lorem ipsum,<h1>!</h1>,50,http://www.lorem-ipsum.org,job-14
duty-15,Lorem ipsum,' or 'A'='A,50,http://www.lorem-ipsum.org,job-15
duty-16,Lorem ipsum,국민경제의 발전을,50,http://www.lorem-ipsum.org,job-16
duty-17,Lorem ipsum,العظمى واعتلاء,50,http://www.lorem-ipsum.org,job-17
# work-load,,,,,
duty-18,Lorem ipsum,Lorem ipsum,0,http://www.lorem-ipsum.org,job-18
duty-19,Lorem ipsum,Lorem ipsum,0.01,http://www.lorem-ipsum.org,job-19
duty-20,Lorem ipsum,Lorem ipsum,99.99,http://www.lorem-ipsum.org,job-20
duty-21,Lorem ipsum,Lorem ipsum,100,http://www.lorem-ipsum.org,job-21
# more-info,,,,,
duty-22,Lorem ipsum,Lorem ipsum,50,,job-22
duty-23,Lorem ipsum,Lorem ipsum,50,ftp://a,job-23
duty-24,Lorem ipsum,Lorem ipsum,50,ftp://a.b,job-24
duty-25,Lorem ipsum,Lorem ipsum,50,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",job-25
duty-26,Lorem ipsum,Lorem ipsum,50,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",job-26
duty-27,Lorem ipsum,Lorem ipsum,50,https://www.lorem-ipsum.org,job-27
duty-28,Lorem ipsum,Lorem ipsum,50,ftp://www.lorem-ipsum.org,job-28
duty-29,Lorem ipsum,Lorem ipsum,50,http://www.lorem-ipsum.org/dolor/sit.html,job-29
duty-30,Lorem ipsum,Lorem ipsum,50,http://www.lorem-ipsum.org/dolor/sit.html#dolor,job-30
duty-31,Lorem ipsum,Lorem ipsum,50,http://example.org?a=1&b=2,job-31
duty-32,Lorem ipsum,Lorem ipsum,50,http://example.org?,job-32
duty-33,Lorem ipsum,Lorem ipsum,50,http://example.org?a,job-33
duty-34,Lorem ipsum,Lorem ipsum,50,http://example.org?a&b,job-34
duty-35,Lorem ipsum,Lorem ipsum,50,http://example.org/,job-35
duty-36,Lorem ipsum,Lorem ipsum,50,http://example.org/a,job-36
duty-37,Lorem ipsum,Lorem ipsum,50,http://example.org/a/b,job-37
duty-38,Lorem ipsum,Lorem ipsum,50,http://example.org/a/b?,job-38
duty-39,Lorem ipsum,Lorem ipsum,50,http://example.org/a/b?a&b,job-39
# HINT: required to publish job-55
duty-55.01,Lorem ipsum,Lorem ipsum,10.50,http://www.lorem-ipsum.org,job-55
duty-55.02,Lorem ipsum,Lorem ipsum,10.50,http://www.lorem-ipsum.org,job-55
duty-55.03,Lorem ipsum,Lorem ipsum,5.75,http://www.lorem-ipsum.org,job-55
duty-55.04,Lorem ipsum,Lorem ipsum,0.25,http://www.lorem-ipsum.org,job-55
duty-55.05,Lorem ipsum,Lorem ipsum,73.00,http://www.lorem-ipsum.org,job-55
