"key","ticker","title","deadline","salary","score","description","more-info","draft-mode","key:employer","key:contractor"
# ticker
"job-01","REF-JOB-01","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-02","REF-A","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-03","REF-AB","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-04","REF-ABCDEFGHIJ","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-05","REF-ABCDEFGHIJK","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
# title
"job-06","REF-JOB-06","L","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-07","REF-JOB-07","Lo","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-08","REF-JOB-08","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-09","REF-JOB-09","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-10","REF-JOB-10","<h1>!</h1>","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-11","REF-JOB-11","' or 'A'='A","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-12","REF-JOB-12","국민경제의 발전을","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-13","REF-JOB-13","العظمى واعتلاء","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
# deadline
"job-14","REF-JOB-14","Lorem ipsum","2022/08/05 23:59","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
